Category|Subdomain|Work|Link|Venue|Year|Role
Agentic Foundations|Tool-Augmented Agents|MRKL Systems: A Modular Neuro-Symbolic Architecture that Combines Large Language Models, External Knowledge Sources and Discrete Reasoning|https://arxiv.org/abs/2205.00445|arXiv|2022|Foundational modular tool-augmented LLM architecture.
Agentic Foundations|Tool-Augmented Agents|Toolformer: Language Models Can Teach Themselves to Use Tools|https://arxiv.org/abs/2302.04761|NeurIPS|2023|Early method for teaching LMs API/tool use.
Agentic Foundations|Tool-Augmented Agents|ToolLLM: Facilitating Large Language Models to Master 16000+ Real-World APIs|https://openreview.net/forum?id=dHng2O0Jjr|ICLR|2024|Large-scale tool-use learning and evaluation.
Agentic Foundations|Reasoning and Reflection|ReAct: Synergizing Reasoning and Acting in Language Models|https://openreview.net/forum?id=WE_vluYUL-X|ICLR|2023|Interleaves reasoning traces with external actions.
Agentic Foundations|Reasoning and Reflection|Tree of Thoughts: Deliberate Problem Solving with Large Language Models|https://arxiv.org/abs/2305.10601|NeurIPS|2023|Structured search over intermediate reasoning states.
Agentic Foundations|Reasoning and Reflection|Reflexion: Language Agents with Verbal Reinforcement Learning|https://openreview.net/forum?id=vAElhFcKW6|NeurIPS|2023|Failure feedback and reflective memory for later attempts.
Agentic Foundations|Embodied and Long-Horizon Agents|Voyager: An Open-Ended Embodied Agent with Large Language Models|https://arxiv.org/abs/2305.16291|arXiv|2023|Long-horizon embodied agent with skill and memory accumulation.
Agentic Foundations|Embodied and Long-Horizon Agents|Generative Agents: Interactive Simulacra of Human Behavior|https://doi.org/10.1145/3586183.3606763|UIST|2023|Memory, reflection, and planning in simulated social agents.
Agentic Foundations|Multi-Agent Systems|AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversations||COLM|2024|Multi-agent conversation framework.
Agentic Foundations|Multi-Agent Systems|CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society||NeurIPS|2023|Role-based multi-agent collaboration.
Agent Benchmarks and Trace Datasets|General Agent Evaluation|AgentBench: Evaluating LLMs as Agents|https://openreview.net/forum?id=zAdUB0aCTQ|ICLR|2024|General benchmark suite for agent capability evaluation.
Agent Benchmarks and Trace Datasets|General Agent Evaluation|WebArena: A Realistic Web Environment for Building Autonomous Agents|https://openreview.net/forum?id=oKn9c6ytLx|ICLR|2024|Realistic web interaction environment for autonomous agents.
Agent Benchmarks and Trace Datasets|General Agent Evaluation|tau-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains|https://openreview.net/forum?id=roNSXZpUDN|ICLR|2025|Tool-agent-user benchmark with realistic task constraints.
Agent Benchmarks and Trace Datasets|Tool and Safety Benchmarks|ToolEmu: Identifying the Risks of LM Agents with an LM-Emulated Sandbox|https://openreview.net/forum?id=GEcwtMk1uA|ICLR|2024|Sandboxed tool-use risk evaluation.
Agent Benchmarks and Trace Datasets|Tool and Safety Benchmarks|AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents|https://openreview.net/forum?id=m1YYAQjO3w|NeurIPS|2024|Prompt-injection benchmark for tool-integrated agents.
Agent Benchmarks and Trace Datasets|Trace Debugging and Failure Analysis|TRAIL: Trace Reasoning and Agentic Issue Localization|https://arxiv.org/abs/2505.08638|arXiv|2025|Annotated traces for localizing agent execution failures.
Agent Benchmarks and Trace Datasets|Trace Debugging and Failure Analysis|Why Do Multi-Agent LLM Systems Fail?||NeurIPS|2026|Failure analysis for multi-agent LLM systems.
Provenance and Observability Infrastructure|Provenance Standards|PROV-DM: The PROV Data Model|https://www.w3.org/TR/prov-dm/|W3C Recommendation|2013|General provenance model used as a conceptual anchor.
Provenance and Observability Infrastructure|Provenance Standards|OpenLineage Specification|https://github.com/OpenLineage/OpenLineage/blob/main/spec/OpenLineage.md|Specification|2026|Data lineage specification related to provenance infrastructure.
Provenance and Observability Infrastructure|Distributed Tracing|OpenTelemetry Specification: Traces|https://opentelemetry.io/docs/specs/otel/|Online Documentation|2026|Distributed tracing model for execution spans and causal paths.
Provenance and Observability Infrastructure|Agent Observability|AgentOps: Enabling Observability of LLM Agents|https://arxiv.org/abs/2411.05285|arXiv|2024|Observability layer for LLM-agent executions.
Provenance and Observability Infrastructure|Agent Observability|AgentTrace: A Structured Logging Framework for Agent System Observability|https://arxiv.org/abs/2602.10133|arXiv|2026|Structured logging framework for agent observability.
Provenance and Observability Infrastructure|Agent Observability|Prov-Agent: Unified Provenance for Tracking AI Agent Interactions in Agentic Workflows||IEEE eScience|2025|Provenance tracking for agent workflow interactions.
Provenance and Observability Infrastructure|Audit and Accountability|Audit Trails for Accountability in Large Language Models|https://arxiv.org/abs/2601.20727|arXiv|2026|Audit-trail framing for LLM accountability.
Provenance and Observability Infrastructure|Audit and Accountability|Auditable Agents|https://arxiv.org/abs/2604.05485|arXiv|2026|Agent-level auditability and accountable execution.
Provenance and Observability Infrastructure|Audit and Accountability|PaperTrail: A Claim-Evidence Interface for Grounding Provenance in LLM-Based Scholarly Q&A||CHI|2026|Interface for claim-evidence provenance in scholarly QA.
Evidence Attribution and RAG Evaluation|Citation and Claim Support|Enabling Large Language Models to Generate Text with Citations|https://doi.org/10.18653/v1/2023.emnlp-main.398|EMNLP|2023|Citation generation and evidence-grounded text generation.
Evidence Attribution and RAG Evaluation|Citation and Claim Support|FActScore: Fine-Grained Atomic Evaluation of Factual Precision in Long-Form Text Generation|https://aclanthology.org/2023.emnlp-main.741/|EMNLP|2023|Atomic factuality and claim-level support evaluation.
Evidence Attribution and RAG Evaluation|Citation and Claim Support|FEVER: A Large-Scale Dataset for Fact Extraction and Verification|https://aclanthology.org/N18-1074/|NAACL|2018|Foundational fact verification dataset.
Evidence Attribution and RAG Evaluation|RAG Faithfulness Metrics|RAGAS: Automated Evaluation of Retrieval Augmented Generation|https://aclanthology.org/2024.eacl-demo.16/|EACL Demo|2024|RAG faithfulness, relevance, and answer quality metrics.
Evidence Attribution and RAG Evaluation|RAG Faithfulness Metrics|ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems|https://aclanthology.org/2024.naacl-long.20/|NAACL|2024|Automated RAG evaluation framework.
Evidence Attribution and RAG Evaluation|RAG Faithfulness Metrics|RAGChecker: A Fine-Grained Framework for Diagnosing Retrieval-Augmented Generation||NeurIPS|2024|Fine-grained diagnosis of retrieval and generation behavior.
Evidence Attribution and RAG Evaluation|RAG Faithfulness Metrics|RAGTruth: A Hallucination Corpus for Developing Trustworthy Retrieval-Augmented Language Models|https://aclanthology.org/2024.acl-long.585/|ACL|2024|Hallucination labels for RAG outputs.
Evidence Attribution and RAG Evaluation|RAG Faithfulness Metrics|How Well Do LLMs Cite Relevant Medical References? An Evaluation Framework and Analyses|https://arxiv.org/abs/2402.02008|arXiv|2024|Reference supportiveness and citation relevance in medical QA.
Evidence Attribution and RAG Evaluation|Self-Reflection and Critique|Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection|https://openreview.net/forum?id=hSyW5go0v8|ICLR|2024|Self-reflective retrieval and generation critique.
Evidence Attribution and RAG Evaluation|Surveys and Adjacent Evaluation|Attribution, Citation, and Quotation: A Survey of Evidence-Based Text Generation with Large Language Models|https://arxiv.org/abs/2508.15396|arXiv|2025|Adjacent survey on evidence-based generation.
Evidence Attribution and RAG Evaluation|Surveys and Adjacent Evaluation|Adversarial Attacks Against Automated Fact-Checking: A Survey|https://aclanthology.org/2025.emnlp-main.1171/|EMNLP|2025|Security background for evidence and fact-checking systems.
Tool-Use Safety and Runtime Enforcement|Prompt Injection and Tool Contamination|Not What You Have Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection|https://doi.org/10.1145/3605764.3623985|AISec|2023|Early indirect prompt-injection attack study.
Tool-Use Safety and Runtime Enforcement|Prompt Injection and Tool Contamination|Prompt Injection Attack Against LLM-Integrated Applications|https://arxiv.org/abs/2306.05499|arXiv|2023|Prompt-injection attacks against LLM-integrated systems.
Tool-Use Safety and Runtime Enforcement|Prompt Injection and Tool Contamination|InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents|https://doi.org/10.18653/v1/2024.findings-acl.624|ACL Findings|2024|Benchmark for indirect prompt injection in tool-integrated agents.
Tool-Use Safety and Runtime Enforcement|Prompt Injection and Tool Contamination|Defeating Prompt Injections by Design|https://arxiv.org/abs/2503.18813|arXiv|2025|Design-level defenses against prompt injection.
Tool-Use Safety and Runtime Enforcement|Information Flow and Access Control|A Lattice Model of Secure Information Flow|https://doi.org/10.1145/360051.360056|CACM|1976|Classic foundation for information-flow security.
Tool-Use Safety and Runtime Enforcement|Information Flow and Access Control|Language-Based Information-Flow Security|https://doi.org/10.1109/JSAC.2002.806121|IEEE JSAC|2003|Classic survey of language-based information-flow control.
Tool-Use Safety and Runtime Enforcement|Information Flow and Access Control|Securing AI Agents with Information-Flow Control|https://arxiv.org/abs/2505.23643|arXiv|2025|Applies information-flow control to AI agents.
Tool-Use Safety and Runtime Enforcement|Information Flow and Access Control|Ghost in the Agent: Redefining Information Flow Tracking for LLM Agents|https://arxiv.org/abs/2604.23374|arXiv|2026|Agent-specific information-flow tracking.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions|https://arxiv.org/abs/2404.13208|arXiv|2024|Instruction-priority mechanism for safer model behavior.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|StruQ: Defending Against Prompt Injection with Structured Queries||USENIX Security|2025|Structured-query defense against prompt injection.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|NeMo Guardrails: A Toolkit for Controllable and Safe LLM Applications with Programmable Rails|https://aclanthology.org/2023.emnlp-demo.40/|EMNLP Demo|2023|Programmable guardrails for LLM applications.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|Llama Guard: LLM-Based Input-Output Safeguard for Human-AI Conversations|https://arxiv.org/abs/2312.06674|arXiv|2023|Input-output safety classifier for LLM interactions.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents|https://arxiv.org/abs/2503.18666|arXiv|2025|Runtime enforcement framework for agent safety.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|Agent-Sentry: Bounding LLM Agents via Execution Provenance|https://arxiv.org/abs/2603.22868|arXiv|2026|Uses execution provenance to bound agent behavior.
Tool-Use Safety and Runtime Enforcement|Runtime Guardrails and Enforcement|Securing AI Agent Execution|https://arxiv.org/abs/2510.21236|arXiv|2025|Security mechanisms for AI-agent execution.
Memory, Graphs, and Long-Term Context|Long-Term Memory Systems|MemGPT: Towards LLMs as Operating Systems|https://arxiv.org/abs/2310.08560|arXiv|2023|Memory management framing for long-context agents.
Memory, Graphs, and Long-Term Context|Long-Term Memory Systems|MemoryBank: Enhancing Large Language Models with Long-Term Memory|https://doi.org/10.1609/aaai.v38i17.29946|AAAI|2024|Long-term memory system for LLMs.
Memory, Graphs, and Long-Term Context|Long-Term Memory Systems|Augmenting Language Models with Long-Term Memory||NeurIPS|2023|Long-term memory augmentation for language models.
